类型,内容,出现次数,说明
文件名,Info.plist,58,路径: Info.plist; FBAudienceNetwork.bundle/Info.plist; Base.lproj/Main.storyboardc/Info.plist; Base.lproj/LaunchScreen.storyboardc/Info.plist; Frameworks/wakelock_plus.framework/Info.plist; Frameworks/wakelock_plus.framework/wakelock_plus_privacy.bundle/Info.plist; Frameworks/advertising_id.framework/Info.plist; Frameworks/advertising_id.framework/advertising_id_privacy.bundle/Info.plist; Frameworks/in_app_review.framework/Info.plist; Frameworks/in_app_review.framework/in_app_review_privacy.bundle/Info.plist; Frameworks/flutter_keyboard_visibility.framework/Info.plist; Frameworks/flutter_timezone.framework/Info.plist; Frameworks/native_flutter_proxy.framework/Info.plist; Frameworks/OrderedSet.framework/Info.plist; Frameworks/OrderedSet.framework/OrderedSet_privacy.bundle/Info.plist; Frameworks/video_player_avfoundation.framework/Info.plist; Frameworks/video_player_avfoundation.framework/video_player_avfoundation_privacy.bundle/Info.plist; Frameworks/Flutter.framework/Info.plist; Frameworks/AdjustSigSdk.framework/Info.plist; Frameworks/flutter_keychain.framework/Info.plist; Frameworks/App.framework/Info.plist; Frameworks/in_app_purchase_storekit.framework/Info.plist; Frameworks/FBAEMKit.framework/Info.plist; Frameworks/url_launcher_ios.framework/Info.plist; Frameworks/url_launcher_ios.framework/url_launcher_ios_privacy.bundle/Info.plist; Frameworks/FBSDKCoreKit.framework/Info.plist; Frameworks/app_settings.framework/Info.plist; Frameworks/app_settings.framework/app_settings_privacy.bundle/Info.plist; Frameworks/device_info_plus.framework/Info.plist; Frameworks/device_info_plus.framework/device_info_plus_privacy.bundle/Info.plist; Frameworks/flutter_jailbreak_detection.framework/Info.plist; Frameworks/path_provider_foundation.framework/Info.plist; Frameworks/path_provider_foundation.framework/path_provider_foundation_privacy.bundle/Info.plist; Frameworks/sqflite_darwin.framework/Info.plist; Frameworks/sqflite_darwin.framework/sqflite_darwin_privacy.bundle/Info.plist; Frameworks/AdjustSdk.framework/Info.plist; Frameworks/AdjustSdk.framework/Adjust.bundle/Info.plist; Frameworks/adjust_sdk.framework/Info.plist; Frameworks/flutter_native_splash.framework/Info.plist; Frameworks/flutter_native_splash.framework/flutter_native_splash_privacy.bundle/Info.plist; Frameworks/package_info_plus.framework/Info.plist; Frameworks/package_info_plus.framework/package_info_plus_privacy.bundle/Info.plist; Frameworks/shared_preferences_foundation.framework/Info.plist; Frameworks/shared_preferences_foundation.framework/shared_preferences_foundation_privacy.bundle/Info.plist; Frameworks/r_forbidshot.framework/Info.plist; Frameworks/app_tracking_transparency.framework/Info.plist; Frameworks/app_tracking_transparency.framework/app_tracking_transparency_privacy.bundle/Info.plist; Frameworks/webview_flutter_wkwebview.framework/Info.plist; Frameworks/webview_flutter_wkwebview.framework/webview_flutter_wkwebview_privacy.bundle/Info.plist; Frameworks/connectivity_plus.framework/Info.plist; Frameworks/connectivity_plus.framework/connectivity_plus_privacy.bundle/Info.plist; Frameworks/flutter_inappwebview_ios.framework/Info.plist; Frameworks/flutter_inappwebview_ios.framework/flutter_inappwebview_ios_privacy.bundle/Info.plist; Frameworks/flutter_inappwebview_ios.framework/WebView.storyboardc/Info.plist; Frameworks/encryptions.framework/Info.plist; Frameworks/IOSSecuritySuite.framework/Info.plist; Frameworks/IOSSecuritySuite.framework/IOSSecuritySuitePrivacy.bundle/Info.plist; Frameworks/FBSDKCoreKit_Basics.framework/Info.plist
文件名,CodeResources,35,路径: _CodeSignature/CodeResources; Frameworks/wakelock_plus.framework/_CodeSignature/CodeResources; Frameworks/advertising_id.framework/_CodeSignature/CodeResources; Frameworks/in_app_review.framework/_CodeSignature/CodeResources; Frameworks/flutter_keyboard_visibility.framework/_CodeSignature/CodeResources; Frameworks/flutter_timezone.framework/_CodeSignature/CodeResources; Frameworks/native_flutter_proxy.framework/_CodeSignature/CodeResources; Frameworks/OrderedSet.framework/_CodeSignature/CodeResources; Frameworks/video_player_avfoundation.framework/_CodeSignature/CodeResources; Frameworks/Flutter.framework/_CodeSignature/CodeResources; Frameworks/AdjustSigSdk.framework/_CodeSignature/CodeResources; Frameworks/flutter_keychain.framework/_CodeSignature/CodeResources; Frameworks/App.framework/_CodeSignature/CodeResources; Frameworks/in_app_purchase_storekit.framework/_CodeSignature/CodeResources; Frameworks/FBAEMKit.framework/_CodeSignature/CodeResources; Frameworks/url_launcher_ios.framework/_CodeSignature/CodeResources; Frameworks/FBSDKCoreKit.framework/_CodeSignature/CodeResources; Frameworks/app_settings.framework/_CodeSignature/CodeResources; Frameworks/device_info_plus.framework/_CodeSignature/CodeResources; Frameworks/flutter_jailbreak_detection.framework/_CodeSignature/CodeResources; Frameworks/path_provider_foundation.framework/_CodeSignature/CodeResources; Frameworks/sqflite_darwin.framework/_CodeSignature/CodeResources; Frameworks/AdjustSdk.framework/_CodeSignature/CodeResources; Frameworks/adjust_sdk.framework/_CodeSignature/CodeResources; Frameworks/flutter_native_splash.framework/_CodeSignature/CodeResources; Frameworks/package_info_plus.framework/_CodeSignature/CodeResources; Frameworks/shared_preferences_foundation.framework/_CodeSignature/CodeResources; Frameworks/r_forbidshot.framework/_CodeSignature/CodeResources; Frameworks/app_tracking_transparency.framework/_CodeSignature/CodeResources; Frameworks/webview_flutter_wkwebview.framework/_CodeSignature/CodeResources; Frameworks/connectivity_plus.framework/_CodeSignature/CodeResources; Frameworks/flutter_inappwebview_ios.framework/_CodeSignature/CodeResources; Frameworks/encryptions.framework/_CodeSignature/CodeResources; Frameworks/IOSSecuritySuite.framework/_CodeSignature/CodeResources; Frameworks/FBSDKCoreKit_Basics.framework/_CodeSignature/CodeResources
文件名,PrivacyInfo.xcprivacy,24,路径: FBAudienceNetwork.bundle/PrivacyInfo.xcprivacy; Frameworks/wakelock_plus.framework/wakelock_plus_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/in_app_review.framework/in_app_review_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/OrderedSet.framework/OrderedSet_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/video_player_avfoundation.framework/video_player_avfoundation_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/Flutter.framework/PrivacyInfo.xcprivacy; Frameworks/AdjustSigSdk.framework/PrivacyInfo.xcprivacy; Frameworks/FBAEMKit.framework/PrivacyInfo.xcprivacy; Frameworks/url_launcher_ios.framework/url_launcher_ios_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/FBSDKCoreKit.framework/PrivacyInfo.xcprivacy; Frameworks/app_settings.framework/app_settings_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/device_info_plus.framework/device_info_plus_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/path_provider_foundation.framework/path_provider_foundation_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/sqflite_darwin.framework/sqflite_darwin_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/AdjustSdk.framework/Adjust.bundle/PrivacyInfo.xcprivacy; Frameworks/flutter_native_splash.framework/flutter_native_splash_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/package_info_plus.framework/package_info_plus_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/shared_preferences_foundation.framework/shared_preferences_foundation_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/app_tracking_transparency.framework/app_tracking_transparency_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/webview_flutter_wkwebview.framework/webview_flutter_wkwebview_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/connectivity_plus.framework/connectivity_plus_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/flutter_inappwebview_ios.framework/flutter_inappwebview_ios_privacy.bundle/PrivacyInfo.xcprivacy; Frameworks/IOSSecuritySuite.framework/IOSSecuritySuitePrivacy.bundle/PrivacyInfo.xcprivacy; Frameworks/FBSDKCoreKit_Basics.framework/PrivacyInfo.xcprivacy
文件名,FacebookSDK.strings,44,路径: Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/de.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/he.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ar.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/el.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ja.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/mr.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/en.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/gu.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/kn.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/nb.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/pa.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/es.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/da.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/it.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/sk.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/pt_PT.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ms.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ta.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ml.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/sv.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/te.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/cs.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ko.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/fil.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/hu.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/tr.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/pl.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/en_GB.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/zh_Hant_TW.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/vi.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ru.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/zh_Hant_HK.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/af.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/es_ES.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/fr.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/fi.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/id.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/nl.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/th.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/pt.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/bn.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/hr.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/hi.lproj/FacebookSDK.strings; Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/zh.lproj/FacebookSDK.strings
